,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,popularity,speechiness,tempo,valence,music_genre
1011,0.00729,0.44,0.809,0.0094,0.0949,-8.963,0,47.0,0.0836,169.765,0.7390000000000001,Electronic
511,0.0003819999999999,0.596,0.978,0.769,0.262,-1.189,0,41.0,0.0943,149.976,0.406,Electronic
274,3.9e-05,0.568,0.7090000000000001,0.0034799999999999,0.33,-6.188,0,29.0,0.0304,122.98700000000001,0.211,Electronic
1389,0.3929999999999999,0.544,0.7070000000000001,0.000814,0.345,-5.648,1,28.0,0.135,147.001,0.505,Electronic
405,0.0216,0.5660000000000001,0.809,0.906,0.283,-5.396,1,36.0,0.0599,124.954,0.271,Electronic
4075,0.0234,0.471,0.648,0.00897,0.11,-5.058,1,54.0,0.0316,87.959,0.129,Electronic
3813,3.04e-05,0.428,0.982,0.8220000000000001,0.322,-4.104,1,54.0,0.0477,173.998,0.3,Electronic
303,0.723,0.865,0.4429999999999999,0.144,0.0877,-14.168,1,51.0,0.16,96.023,0.6890000000000001,Electronic
3025,7.170000000000001e-05,0.603,0.92,0.11,0.222,-4.828,0,51.0,0.0299,127.868,0.401,Electronic
3909,0.2739999999999999,0.7,0.283,0.0353,0.246,-13.66,0,34.0,0.0511,113.03200000000001,0.0654,Electronic
893,1.87e-05,0.534,0.994,0.922,0.359,-1.947,0,0.0,0.046,130.034,0.0295,Electronic
3518,0.00247,0.7070000000000001,0.855,0.22,0.249,-6.947,0,28.0,0.0667,118.421,0.889,Electronic
2036,0.00118,0.848,0.6509999999999999,0.52,0.782,-6.871,1,30.0,0.145,140.023,0.556,Electronic
930,0.0018,0.802,0.984,0.0126,0.148,-2.484,0,29.0,0.217,127.96700000000001,0.5529999999999999,Electronic
21,0.00998,0.8540000000000001,0.335,0.67,0.0761,-9.062,1,29.0,0.0545,83.943,0.509,Electronic
4981,0.00252,0.6940000000000001,0.949,0.12,0.13,-3.807,1,52.0,0.0868,150.033,0.389,Electronic
206,0.1369999999999999,0.494,0.357,0.667,0.131,-17.063,0,38.0,0.0343,95.031,0.292,Electronic
4034,0.00516,0.745,0.924,0.777,0.0439,-6.872000000000001,1,39.0,0.0558,115.991,0.871,Electronic
1866,0.0003779999999999,0.7879999999999999,0.696,0.087,0.0754,-4.512,0,33.0,0.0417,109.98100000000001,0.259,Electronic
2076,0.0685,0.499,0.7909999999999999,1.89e-05,0.138,-3.735,0,58.0,0.0539,99.943,0.25,Electronic
4539,0.000833,0.57,0.942,0.623,0.27,-3.932,0,39.0,0.046,145.092,0.31,Electronic
4736,0.0099099999999999,0.518,0.439,0.7490000000000001,0.0549,-14.475,0,29.0,0.0421,90.01299999999999,0.0556,Electronic
3519,0.00654,0.889,0.609,0.000478,0.079,-6.438,0,38.0,0.0423,90.535,0.4589999999999999,Electronic
2775,0.00223,0.432,0.7440000000000001,0.1119999999999999,0.349,-7.061,1,32.0,0.0465,143.937,0.0383,Electronic
1426,0.0047,0.391,0.904,0.0239,0.3389999999999999,-4.763999999999999,0,36.0,0.079,153.39700000000002,0.322,Electronic
3512,0.375,0.662,0.551,0.203,0.0564,-8.557,1,36.0,0.0246,84.994,0.5379999999999999,Electronic
973,0.0212,0.54,0.774,9.66e-05,0.106,-4.501,1,45.0,0.299,167.87099999999998,0.34,Electronic
2069,0.00364,0.8320000000000001,0.943,0.7829999999999999,0.534,-5.556,0,35.0,0.209,125.01100000000001,0.19,Electronic
1969,0.0314,0.579,0.858,0.016,0.111,-4.963,0,40.0,0.268,112.55799999999999,0.0933,Electronic
4515,0.0123,0.909,0.434,0.635,0.0885,-11.868,0,30.0,0.163,129.05200000000002,0.568,Electronic
4872,0.000901,0.769,0.792,0.0,0.385,-4.086,0,31.0,0.111,136.02100000000002,0.295,Electronic
4706,0.0195,0.868,0.708,1.59e-05,0.098,-6.119,1,26.0,0.0962,123.999,0.406,Electronic
3380,0.00981,0.627,0.411,0.847,0.123,-10.366,0,31.0,0.0267,105.042,0.0536,Electronic
3343,0.054,0.7040000000000001,0.949,0.0727,0.127,-6.023,0,51.0,0.12,104.01899999999999,0.248,Electronic
4735,0.0004559999999999,0.6920000000000001,0.978,0.698,0.286,-1.839,1,30.0,0.115,150.096,0.487,Electronic
3458,0.0116,0.4579999999999999,0.968,0.0506,0.076,-2.825,0,37.0,0.21,112.03399999999999,0.037,Electronic
602,0.00243,0.601,0.725,0.0791,0.0559,-6.042999999999999,0,32.0,0.0246,94.984,0.47,Electronic
1911,0.136,0.64,0.485,0.542,0.1119999999999999,-10.425,0,36.0,0.0433,88.00200000000001,0.0392,Electronic
4930,0.00409,0.5589999999999999,0.705,0.0,0.12,-8.26,1,31.0,0.083,140.097,0.159,Electronic
442,0.0457,0.612,0.436,0.8590000000000001,0.674,-11.014,1,23.0,0.0252,96.91,0.0365,Electronic
3787,0.835,0.584,0.52,0.98,0.3,-25.582,0,39.0,0.108,77.346,0.713,Electronic
4783,0.0114,0.6709999999999999,0.78,0.687,0.203,-7.86,1,41.0,0.0454,120.016,0.416,Electronic
3923,0.0613,0.52,0.721,0.352,0.331,-7.779,0,21.0,0.0331,112.01299999999999,0.125,Electronic
3564,0.00291,0.6920000000000001,0.715,0.0303,0.0428,-7.911,0,36.0,0.0385,130.003,0.626,Electronic
1857,0.0106,0.703,0.871,2.58e-05,0.0992,-5.767,0,50.0,0.155,129.937,0.347,Electronic
3264,0.0913,0.69,0.868,0.271,0.133,-8.943999999999999,1,43.0,0.0389,119.49,0.657,Electronic
2118,0.23,0.693,0.59,0.8340000000000001,0.0685,-7.232,1,53.0,0.0464,117.006,0.237,Electronic
3810,0.00526,0.882,0.598,0.539,0.923,-6.195,1,33.0,0.124,125.00399999999999,0.105,Electronic
1359,0.0141,0.473,0.99,0.0458,0.0761,-0.747,1,51.0,0.365,150.125,0.118,Electronic
3698,0.0435,0.46,0.674,3.11e-06,0.177,-5.518,0,33.0,0.062,159.985,0.264,Electronic
2025,0.00196,0.898,0.815,0.7040000000000001,0.0915,-5.091,1,42.0,0.153,124.99700000000001,0.286,Electronic
3571,0.0748,0.718,0.939,0.957,0.1119999999999999,-5.454,1,34.0,0.0663,117.73100000000001,0.853,Electronic
3916,0.319,0.826,0.527,0.903,0.134,-9.49,1,39.0,0.0608,120.039,0.342,Electronic
3532,0.217,0.555,0.72,0.804,0.106,-9.093,1,31.0,0.0473,119.835,0.1989999999999999,Electronic
1989,0.000944,0.43,0.971,0.0546,0.214,-1.516,1,25.0,0.4639999999999999,149.917,0.251,Electronic
2024,0.39,0.698,0.616,0.5329999999999999,0.0784,-10.264,0,30.0,0.0377,117.97399999999999,0.725,Electronic
1545,0.0178,0.53,0.8959999999999999,0.0353,0.263,-2.652,0,34.0,0.183,150.013,0.303,Electronic
50,0.111,0.7140000000000001,0.867,8.55e-05,0.325,-6.295,1,49.0,0.0569,122.915,0.872,Electronic
3261,0.0395,0.853,0.889,6.88e-06,0.0313,-6.771,0,49.0,0.0828,124.542,0.659,Electronic
1731,0.0868,0.7909999999999999,0.535,0.758,0.179,-12.054,1,39.0,0.0461,125.008,0.363,Electronic
1294,0.000109,0.134,0.987,0.4029999999999999,0.375,-3.761,0,27.0,0.0966,163.90400000000002,0.3,Electronic
1711,0.214,0.605,0.75,0.882,0.0912,-8.152000000000001,1,27.0,0.063,172.007,0.178,Electronic
2008,0.0208,0.645,0.985,2.92e-06,0.437,-2.07,0,42.0,0.4539999999999999,124.898,0.382,Electronic
4799,0.00107,0.6559999999999999,0.826,0.845,0.2739999999999999,-10.967,0,21.0,0.0491,125.67399999999999,0.532,Electronic
2704,0.179,0.85,0.492,0.818,0.103,-9.92,0,42.0,0.066,112.006,0.248,Electronic
1372,0.0302,0.557,0.93,0.00322,0.139,-3.342,0,34.0,0.16,150.077,0.2,Electronic
1864,0.000303,0.711,0.954,0.8340000000000001,0.07,-7.914,0,40.0,0.0707,124.98200000000001,0.897,Electronic
2367,0.000535,0.7140000000000001,0.816,0.3389999999999999,0.0685,-6.818,1,46.0,0.033,114.991,0.335,Electronic
4734,0.55,0.737,0.469,0.278,0.1009999999999999,-9.3,0,46.0,0.0401,117.945,0.327,Electronic
2342,0.00469,0.667,0.599,0.677,0.349,-12.837,0,30.0,0.0515,110.02799999999999,0.3289999999999999,Electronic
4223,0.0809,0.8170000000000001,0.3229999999999999,0.845,0.0931,-12.917,1,47.0,0.1169999999999999,91.01100000000001,0.281,Electronic
92,0.001,0.563,0.631,0.00104,0.102,-5.682,0,26.0,0.1989999999999999,146.211,0.208,Electronic
3459,0.00379,0.492,0.953,0.258,0.649,-1.877,1,42.0,0.341,75.007,0.244,Electronic
2241,0.0696,0.7909999999999999,0.698,0.00206,0.166,-6.765,1,40.0,0.0365,120.46799999999999,0.7879999999999999,Electronic
3190,0.0274,0.696,0.8390000000000001,0.235,0.147,-4.526,0,50.0,0.0247,100.00299999999999,0.278,Electronic
4720,0.0517,0.3979999999999999,0.988,0.552,0.429,-7.556,0,62.0,0.0978,184.076,0.0961,Electronic
555,0.465,0.8170000000000001,0.312,0.8740000000000001,0.144,-15.857,1,34.0,0.0485,104.009,0.0561,Electronic
1281,0.522,0.55,0.58,0.929,0.111,-6.71,1,43.0,0.0289,84.853,0.482,Electronic
4114,0.152,0.469,0.902,0.0124,0.261,-6.018,0,32.0,0.275,82.99700000000001,0.525,Electronic
2269,0.0129,0.3389999999999999,0.677,0.00162,0.105,-11.843,0,40.0,0.0453,187.622,0.223,Electronic
2465,0.607,0.769,0.53,0.88,0.121,-13.41,0,41.0,0.207,103.99700000000001,0.35,Electronic
3395,0.537,0.7170000000000001,0.5710000000000001,0.386,0.1009999999999999,-8.472999999999999,0,59.0,0.0298,119.98899999999999,0.5489999999999999,Electronic
1656,0.0287,0.6759999999999999,0.895,0.186,0.366,-5.367999999999999,1,41.0,0.0592,124.958,0.0991,Electronic
1258,0.6920000000000001,0.447,0.3429999999999999,0.00067,0.0689,-8.677,0,43.0,0.0289999999999999,130.917,0.6409999999999999,Electronic
2584,0.0472,0.912,0.6920000000000001,0.611,0.557,-9.503,1,41.0,0.204,106.977,0.506,Electronic
3295,0.0409,0.809,0.627,0.143,0.155,-7.497999999999999,0,30.0,0.0532,112.005,0.654,Electronic
90,0.172,0.795,0.518,0.0597,0.17,-11.736,0,32.0,0.0986,115.008,0.585,Electronic
61,0.0816,0.6890000000000001,0.8740000000000001,0.129,0.272,-5.275,1,38.0,0.0464,121.01899999999999,0.961,Electronic
2227,0.0004759999999999,0.7509999999999999,0.598,0.831,0.0616,-7.636,0,49.0,0.0412,99.991,0.176,Electronic
1742,0.359,0.728,0.318,0.885,0.103,-15.309,0,36.0,0.0442,119.007,0.179,Electronic
1466,0.0384,0.637,0.5529999999999999,0.84,0.0932,-13.724,0,41.0,0.0375,123.007,0.55,Electronic
3174,0.445,0.649,0.6759999999999999,0.0041,0.272,-8.176,1,32.0,0.0377,111.87899999999999,0.715,Electronic
96,0.946,0.542,0.16,0.928,0.263,-21.672,1,55.0,0.0365,126.921,0.198,Electronic
1765,0.00491,0.466,0.732,0.1669999999999999,0.6709999999999999,-4.587,1,45.0,0.0426,129.995,0.21,Electronic
2917,0.173,0.382,0.6859999999999999,0.00193,0.109,-8.46,0,36.0,0.0484,105.24700000000001,0.103,Electronic
4672,0.0439,0.815,0.561,0.00208,0.122,-8.78,1,25.0,0.204,140.045,0.413,Electronic
1850,0.503,0.7140000000000001,0.6890000000000001,0.00134,0.1,-6.537999999999999,0,53.0,0.04,95.035,0.883,Electronic
2003,0.00321,0.705,0.975,0.000292,0.268,0.2269999999999999,1,35.0,0.377,72.529,0.409,Electronic
1107,0.0586,0.809,0.27,0.901,0.257,-13.723,1,42.0,0.0781,80.009,0.108,Electronic
3517,0.00129,0.5589999999999999,0.928,0.0918,0.253,-5.358,0,44.0,0.0768,142.907,0.211,Electronic
2596,0.426,0.784,0.596,0.8109999999999999,0.0971,-10.853,1,42.0,0.0461,113.97399999999999,0.1889999999999999,Electronic
2516,0.141,0.634,0.797,0.2,0.0961,-5.083,0,29.0,0.0623,159.97899999999998,0.79,Electronic
2941,0.00974,0.6709999999999999,0.926,0.8240000000000001,0.0889,-8.737,1,33.0,0.0593,128.024,0.4639999999999999,Electronic
1383,0.00391,0.667,0.736,3.14e-05,0.342,-8.463,0,34.0,0.129,122.904,0.522,Electronic
2662,0.488,0.809,0.624,0.895,0.0887,-11.129,1,44.0,0.0514,115.00399999999999,0.34,Electronic
409,0.000135,0.522,0.8109999999999999,0.862,0.129,-6.24,1,35.0,0.0424,124.977,0.295,Electronic
3686,0.332,0.108,0.6,0.612,0.172,-9.516,0,27.0,0.0364,85.67399999999999,0.0526,Electronic
3497,0.121,0.413,0.6709999999999999,0.3979999999999999,0.578,-9.184,1,31.0,0.159,171.99,0.366,Electronic
161,0.0044399999999999,0.701,0.607,4.09e-05,0.0433,-4.513999999999999,1,26.0,0.0547,127.979,0.342,Electronic
361,0.00195,0.778,0.933,0.807,0.602,-5.718999999999999,0,49.0,0.214,124.993,0.535,Electronic
3533,0.0239,0.603,0.955,0.0451,0.119,-4.111000000000001,0,32.0,0.0458,123.92200000000001,0.787,Electronic
365,0.177,0.8029999999999999,0.552,0.000187,0.0865,-5.962000000000001,1,51.0,0.1989999999999999,125.01,0.208,Electronic
3125,0.141,0.612,0.607,0.1669999999999999,0.104,-8.637,1,46.0,0.0396,79.975,0.6609999999999999,Electronic
2302,0.0095599999999999,0.433,0.637,0.0849,0.123,-8.138,0,49.0,0.0283,109.92399999999999,0.21,Electronic
1328,0.0144,0.478,0.685,0.0,0.11,-6.975,1,30.0,0.0609,73.833,0.0626,Electronic
4396,0.000136,0.481,0.8109999999999999,0.0673,0.65,-5.223,0,42.0,0.0354,179.967,0.2789999999999999,Electronic
1254,0.0229,0.7070000000000001,0.748,0.764,0.106,-11.086,0,42.0,0.048,118.023,0.166,Electronic
4712,0.0192,0.623,0.643,6.6e-05,0.326,-7.513999999999999,0,36.0,0.0326,137.025,0.67,Electronic
609,0.000455,0.521,0.752,0.667,0.111,-7.221,0,40.0,0.0243,102.51799999999999,0.0724,Electronic
3,0.0254,0.774,0.7,0.00253,0.157,-4.498,0,34.0,0.239,128.014,0.27,Electronic
3833,0.295,0.122,0.609,0.894,0.319,-8.562999999999999,1,38.0,0.047,73.66199999999999,0.181,Electronic
1709,0.13,0.778,0.6679999999999999,0.855,0.076,-11.309,0,43.0,0.0843,117.006,0.5920000000000001,Electronic
4577,0.000729,0.418,0.925,0.5589999999999999,0.938,-3.686,0,37.0,0.174,149.724,0.191,Electronic
3121,0.0156,0.605,0.969,0.433,0.271,-1.88,1,48.0,0.118,150.119,0.4029999999999999,Electronic
2581,0.00361,0.94,0.585,0.00263,0.083,-8.395,1,34.0,0.0499,125.00399999999999,0.457,Electronic
56,0.0004089999999999,0.5670000000000001,0.898,0.613,0.249,-1.286,1,47.0,0.125,74.995,0.183,Electronic
2211,0.00326,0.665,0.911,0.581,0.732,-4.02,0,30.0,0.176,175.153,0.639,Electronic
4864,0.0366,0.58,0.662,0.0197,0.105,-11.761,1,35.0,0.0352,150.18200000000002,0.971,Electronic
4821,0.445,0.48,0.8270000000000001,0.341,0.56,-6.712000000000001,1,49.0,0.0414,178.136,0.974,Electronic
1162,0.578,0.752,0.498,0.195,0.151,-10.805,0,51.0,0.0303,99.991,0.351,Electronic
3563,0.000843,0.601,0.953,0.0384,0.356,-2.908,0,36.0,0.0398,140.023,0.3979999999999999,Electronic
29,0.0336,0.74,0.83,0.401,0.0961,-3.783,0,28.0,0.0603,135.05700000000002,0.155,Electronic
4071,0.395,0.828,0.271,0.8190000000000001,0.065,-13.061,1,53.0,0.0532,113.995,0.233,Electronic
3448,2.1e-05,0.57,0.915,0.777,0.0552,-4.346,0,27.0,0.0326,144.029,0.266,Electronic
1532,0.000489,0.918,0.556,1.22e-05,0.0784,-16.327,1,25.0,0.174,116.2,0.61,Electronic
4787,0.0221,0.629,0.989,0.888,0.34,-3.4730000000000003,1,31.0,0.148,117.00299999999999,0.263,Electronic
589,0.065,0.628,0.809,4.28e-05,0.124,-2.806,1,38.0,0.0383,145.099,0.3779999999999999,Electronic
1193,0.000333,0.785,0.58,0.856,0.147,-9.419,0,25.0,0.0537,120.99700000000001,0.2239999999999999,Electronic
2985,0.0006349999999999,0.484,0.8959999999999999,0.0755,0.12,-7.972,1,48.0,0.035,116.395,0.933,Electronic
4576,0.514,0.519,0.389,0.153,0.1,-9.807,0,53.0,0.0304,121.802,0.107,Electronic
3397,0.000243,0.924,0.42,0.214,0.4029999999999999,-11.67,0,45.0,0.578,128.977,0.455,Electronic
4385,0.0994,0.635,0.68,0.00356,0.0908,-7.852,0,34.0,0.0267,105.882,0.5589999999999999,Electronic
1955,0.1969999999999999,0.708,0.521,0.352,0.265,-11.896,1,35.0,0.131,84.955,0.363,Electronic
1224,0.00236,0.482,0.855,0.517,0.223,-4.797,0,31.0,0.0275,92.97,0.245,Electronic
1053,0.213,0.5479999999999999,0.672,0.0001159999999999,0.3339999999999999,-4.428,0,32.0,0.0321,149.986,0.264,Electronic
2279,0.613,0.3379999999999999,0.522,0.00626,0.24,-8.338,0,27.0,0.0627,120.051,0.276,Electronic
4519,0.00182,0.69,0.908,0.151,0.222,-5.448,1,30.0,0.0655,139.99,0.431,Electronic
3158,0.151,0.735,0.595,0.846,0.173,-14.142,1,29.0,0.0605,108.042,0.644,Electronic
3177,0.154,0.7070000000000001,0.903,0.802,0.0434,-2.141,0,26.0,0.0779,148.035,0.7829999999999999,Electronic
1902,0.0736,0.752,0.923,0.0121,0.0832,-3.195,1,32.0,0.0382,140.03,0.534,Electronic
661,0.0424,0.562,0.939,0.8640000000000001,0.11,-6.904,0,20.0,0.0569,101.992,0.0745,Electronic
1360,0.077,0.524,0.7170000000000001,0.792,0.128,-8.631,0,39.0,0.0367,134.99200000000002,0.0775,Electronic
1234,0.000791,0.696,0.853,0.557,0.286,-6.935,1,38.0,0.0409999999999999,118.3,0.915,Electronic
1165,0.000866,0.664,0.973,4.92e-05,0.193,-1.251,1,43.0,0.0587,99.978,0.525,Electronic
3684,0.00597,0.815,0.745,0.904,0.0616,-8.463,1,43.0,0.0463,120.005,0.447,Electronic
2356,0.000669,0.792,0.929,0.0013599999999999,0.153,-3.459,0,30.0,0.0893,107.979,0.2289999999999999,Electronic
1149,0.0241,0.8029999999999999,0.58,0.762,0.0868,-8.389,1,26.0,0.0287,123.98899999999999,0.867,Electronic
2976,0.00105,0.604,0.767,0.17,0.0946,-6.156000000000001,1,25.0,0.0289999999999999,128.012,0.121,Electronic
3506,0.0107,0.597,0.974,0.294,0.0998,-4.905,0,27.0,0.0419,128.024,0.408,Electronic
3800,0.00148,0.599,0.921,0.4629999999999999,0.3279999999999999,-8.519,0,35.0,0.0417,121.993,0.617,Electronic
680,0.153,0.4579999999999999,0.764,0.00779,0.0781,-4.08,1,46.0,0.0491,79.869,0.31,Electronic
3908,0.0493,0.416,0.823,0.0141,0.0592,-6.464,1,28.0,0.065,104.807,0.0449,Electronic
1207,0.3989999999999999,0.632,0.55,0.11,0.173,-8.735,1,31.0,0.0324,144.064,0.466,Electronic
2733,0.56,0.667,0.305,0.903,0.3929999999999999,-22.067,1,34.0,0.0313,114.022,0.124,Electronic
4014,0.0017,0.473,0.7190000000000001,0.353,0.271,-6.735,1,34.0,0.0511,81.013,0.0583,Electronic
1272,0.802,0.46,0.174,0.0341,0.106,-15.814,0,38.0,0.0266,91.941,0.242,Electronic
97,0.0108,0.489,0.7759999999999999,0.135,0.273,-6.087999999999999,0,27.0,0.0351,75.516,0.436,Electronic
2287,0.132,0.617,0.804,4.59e-05,0.0901,-6.015,0,40.0,0.086,150.055,0.642,Electronic
3706,0.0264,0.445,0.748,0.0034799999999999,0.103,-3.0460000000000003,0,31.0,0.0686,170.007,0.201,Electronic
1890,0.182,0.63,0.752,0.8759999999999999,0.0697,-7.364,0,38.0,0.0409,100.001,0.132,Electronic
2822,0.618,0.7829999999999999,0.396,0.952,0.108,-10.759,1,53.0,0.155,126.041,0.429,Electronic
2540,0.00382,0.606,0.939,0.0796,0.0909,-6.988,1,30.0,0.0878,171.96400000000003,0.652,Electronic
4020,0.163,0.773,0.841,0.695,0.561,-2.3080000000000003,0,40.0,0.321,80.975,0.473,Electronic
2184,0.0003689999999999,0.754,0.688,0.517,0.345,-3.886,0,29.0,0.0747,140.02200000000002,0.382,Electronic
1166,0.0745,0.381,0.932,0.0055899999999999,0.104,-3.205,1,33.0,0.129,113.486,0.27,Electronic
4668,0.142,0.419,0.954,0.00123,0.742,-5.939,0,27.0,0.472,164.357,0.354,Electronic
4620,0.3329999999999999,0.931,0.57,1.58e-05,0.32,-5.176,1,37.0,0.0375,117.977,0.909,Electronic
918,0.626,0.3879999999999999,0.356,0.784,0.0674,-10.746,1,30.0,0.032,124.08,0.0473,Electronic
2175,0.726,0.853,0.6509999999999999,0.852,0.0663,-7.277,1,36.0,0.151,156.056,0.601,Electronic
1933,0.2769999999999999,0.802,0.8640000000000001,0.00605,0.0554,-6.768,1,49.0,0.0848,127.11,0.944,Electronic
1353,0.000202,0.516,0.884,0.597,0.367,-4.953,1,50.0,0.0379,173.014,0.3379999999999999,Electronic
4431,0.0574,0.732,0.726,0.00829,0.382,-8.074,0,56.0,0.261,172.03900000000002,0.45,Electronic
1884,0.0112,0.517,0.992,0.0,0.836,-0.367,0,31.0,0.5,75.03,0.362,Electronic
48,0.636,0.62,0.318,0.879,0.118,-15.88,0,55.0,0.0399,150.379,0.2,Electronic
3194,0.0638,0.825,0.7440000000000001,0.00214,0.103,-6.609,1,40.0,0.0564,120.008,0.823,Electronic
3505,0.109,0.7190000000000001,0.5770000000000001,0.574,0.0866,-12.389,1,33.0,0.0492,145.063,0.346,Electronic
1239,0.0555,0.831,0.8859999999999999,0.0016899999999999,0.6509999999999999,-4.534,0,27.0,0.135,89.999,0.505,Electronic
4345,0.00113,0.564,0.982,0.769,0.152,-2.657,0,28.0,0.123,150.067,0.316,Electronic
2359,9.27e-05,0.58,0.924,0.763,0.27,-3.571,1,27.0,0.0474,144.08700000000002,0.593,Electronic
3547,0.0675,0.547,0.546,0.645,0.115,-11.179,0,40.0,0.142,123.995,0.103,Electronic
143,0.00171,0.721,0.925,0.0545,0.547,-3.208,1,53.0,0.196,111.961,0.37,Electronic
2990,0.000484,0.662,0.513,0.815,0.107,-11.503,0,0.0,0.0596,120.0,0.452,Electronic
4786,0.131,0.522,0.86,0.0209,0.122,-3.773,1,47.0,0.145,128.019,0.259,Electronic
2670,0.0179,0.67,0.96,0.64,0.122,-9.371,1,49.0,0.0596,126.31200000000001,0.605,Electronic
4907,0.000125,0.7140000000000001,0.97,0.0733,0.32,-1.989,0,33.0,0.351,111.87299999999999,0.465,Electronic
1098,0.0288,0.445,0.755,0.0014,0.28,-3.801,1,32.0,0.0323,140.11700000000002,0.206,Electronic
3521,0.067,0.481,0.608,0.0,0.081,-6.117999999999999,0,43.0,0.0425,170.12400000000002,0.273,Electronic
998,1.46e-05,0.5489999999999999,0.918,0.591,0.145,-4.359,0,27.0,0.0535,174.02700000000002,0.649,Electronic
3467,0.0225,0.8759999999999999,0.758,0.265,0.0274,-7.492999999999999,0,56.0,0.0829,118.014,0.91,Electronic
929,0.0184,0.742,0.968,0.777,0.283,-5.659,1,34.0,0.0682,170.012,0.865,Electronic
4005,3.55e-05,0.499,0.7140000000000001,0.768,0.311,-10.672,0,42.0,0.035,121.978,0.0673,Electronic
2032,0.0228,0.657,0.608,0.887,0.13,-9.372,0,44.0,0.042,117.029,0.248,Electronic
638,0.00765,0.427,0.8540000000000001,0.118,0.402,-2.231,0,27.0,0.411,78.697,0.3339999999999999,Electronic
1354,0.0097,0.721,0.7859999999999999,0.728,0.088,-7.24,0,31.0,0.0482,101.99700000000001,0.706,Electronic
4513,0.0223,0.367,0.914,0.288,0.374,-2.864,1,37.0,0.1669999999999999,150.07,0.0387,Electronic
433,0.00465,0.486,0.7390000000000001,0.0,0.0428,-2.714,1,47.0,0.0255,93.984,0.2739999999999999,Electronic
4594,1.57e-05,0.367,0.974,0.38,0.113,-3.016,0,42.0,0.0775,139.945,0.311,Electronic
3094,0.171,0.187,0.391,0.6729999999999999,0.111,-11.828,1,32.0,0.0324,153.665,0.0366,Electronic
4400,0.00361,0.565,0.934,2.29e-06,0.295,-1.5759999999999998,1,53.0,0.0613,139.941,0.634,Electronic
2525,0.000951,0.7959999999999999,0.872,0.0975,0.107,-7.25,1,26.0,0.0365,128.017,0.69,Electronic
635,6.04e-06,0.7020000000000001,0.5670000000000001,0.706,0.1,-5.468,0,37.0,0.0897,115.316,0.705,Electronic
4378,0.158,0.317,0.5710000000000001,2.95e-06,0.0848,-7.669,0,56.0,0.0283,163.036,0.2339999999999999,Electronic
4499,0.00125,0.542,0.913,0.565,0.36,-4.689,1,39.0,0.069,150.047,0.484,Electronic
4384,0.123,0.5429999999999999,0.897,0.0513,0.0892,-4.1,1,48.0,0.0871,74.987,0.156,Electronic
3198,0.0806,0.679,0.792,0.648,0.0924,-5.32,1,31.0,0.0541,94.934,0.33,Electronic
4171,0.000749,0.612,0.973,0.138,0.517,-0.764,1,43.0,0.1689999999999999,75.002,0.442,Electronic
4527,0.12,0.6509999999999999,0.925,0.0,0.057,-3.389,1,50.0,0.053,106.286,0.6579999999999999,Electronic
3485,0.0262,0.732,0.8,0.000713,0.6559999999999999,-4.152,0,51.0,0.2769999999999999,150.043,0.531,Electronic
4458,0.239,0.853,0.318,0.83,0.123,-11.538,0,40.0,0.226,93.09700000000001,0.412,Electronic
3005,6.929999999999999e-05,0.578,0.944,0.0795,0.1119999999999999,-2.758,1,41.0,0.0398,140.072,0.106,Electronic
