acousticness,danceability,instrumentalness,liveness,mode,popularity,speechiness,tempo,valence,music_genre
0.00107,0.656,0.845,0.274,0,21,0.0491,125.674,0.532,Electronic
0.179,0.85,0.818,0.103,0,42,0.066,112.006,0.248,Electronic
0.0302,0.557,0.00322,0.139,0,34,0.16,150.077,0.2,Electronic
0.000303,0.711,0.834,0.07,0,40,0.0707,124.982,0.897,Electronic
0.000535,0.714,0.339,0.0685,1,46,0.033,114.991,0.335,Electronic
0.55,0.737,0.278,0.101,0,46,0.0401,117.945,0.327,Electronic
0.00469,0.667,0.677,0.349,0,30,0.0515,110.028,0.329,Electronic
0.0809,0.817,0.845,0.0931,1,47,0.117,91.011,0.281,Electronic
0.001,0.563,0.00104,0.102,0,26,0.199,146.211,0.208,Electronic
0.00379,0.492,0.258,0.649,1,42,0.341,75.007,0.244,Electronic
0.0696,0.791,0.00206,0.166,1,40,0.0365,120.468,0.788,Electronic
0.0274,0.696,0.235,0.147,0,50,0.0247,100.003,0.278,Electronic
0.0517,0.398,0.552,0.429,0,62,0.0978,184.076,0.0961,Electronic
0.465,0.817,0.874,0.144,1,34,0.0485,104.009,0.0561,Electronic
0.522,0.55,0.929,0.111,1,43,0.0289,84.853,0.482,Electronic
0.152,0.469,0.0124,0.261,0,32,0.275,82.997,0.525,Electronic
0.0129,0.339,0.00162,0.105,0,40,0.0453,187.622,0.223,Electronic
0.607,0.769,0.88,0.121,0,41,0.207,103.997,0.35,Electronic
0.537,0.717,0.386,0.101,0,59,0.0298,119.989,0.549,Electronic
0.0287,0.676,0.186,0.366,1,41,0.0592,124.958,0.0991,Electronic
0.692,0.447,0.00067,0.0689,0,43,0.0289999999999999,130.917,0.641,Electronic
0.0472,0.912,0.611,0.557,1,41,0.204,106.977,0.506,Electronic
0.0409,0.809,0.143,0.155,0,30,0.0532,112.005,0.654,Electronic
0.172,0.795,0.0597,0.17,0,32,0.0986,115.008,0.585,Electronic
0.0816,0.689,0.129,0.272,1,38,0.0464,121.019,0.961,Electronic
0.0004759999999999,0.751,0.831,0.0616,0,49,0.0412,99.991,0.176,Electronic
0.359,0.728,0.885,0.103,0,36,0.0442,119.007,0.179,Electronic
0.0384,0.637,0.84,0.0932,0,41,0.0375,123.007,0.55,Electronic
0.445,0.649,0.0041,0.272,1,32,0.0377,111.879,0.715,Electronic
0.946,0.542,0.928,0.263,1,55,0.0365,126.921,0.198,Electronic
0.00491,0.466,0.167,0.671,1,45,0.0426,129.995,0.21,Electronic
0.173,0.382,0.00193,0.109,0,36,0.0484,105.247,0.103,Electronic
0.0439,0.815,0.00208,0.122,1,25,0.204,140.045,0.413,Electronic
0.503,0.714,0.00134,0.1,0,53,0.04,95.035,0.883,Electronic
0.00321,0.705,0.000292,0.268,1,35,0.377,72.529,0.409,Electronic
0.0586,0.809,0.901,0.257,1,42,0.0781,80.009,0.108,Electronic
0.00129,0.559,0.0918,0.253,0,44,0.0768,142.907,0.211,Electronic
0.426,0.784,0.811,0.0971,1,42,0.0461,113.974,0.189,Electronic
0.141,0.634,0.2,0.0961,0,29,0.0623,159.979,0.79,Electronic
0.00974,0.671,0.824,0.0889,1,33,0.0593,128.024,0.464,Electronic
0.00391,0.667,3.14e-05,0.342,0,34,0.129,122.904,0.522,Electronic
0.488,0.809,0.895,0.0887,1,44,0.0514,115.004,0.34,Electronic
0.000135,0.522,0.862,0.129,1,35,0.0424,124.977,0.295,Electronic
0.332,0.108,0.612,0.172,0,27,0.0364,85.674,0.0526,Electronic
0.121,0.413,0.398,0.578,1,31,0.159,171.99,0.366,Electronic
0.0044399999999999,0.701,4.09e-05,0.0433,1,26,0.0547,127.979,0.342,Electronic
0.00195,0.778,0.807,0.602,0,49,0.214,124.993,0.535,Electronic
0.0239,0.603,0.0451,0.119,0,32,0.0458,123.922,0.787,Electronic
0.177,0.803,0.000187,0.0865,1,51,0.199,125.01,0.208,Electronic
0.141,0.612,0.167,0.104,1,46,0.0396,79.975,0.661,Electronic
0.0095599999999999,0.433,0.0849,0.123,0,49,0.0283,109.924,0.21,Electronic
0.0144,0.478,0,0.11,1,30,0.0609,73.833,0.0626,Electronic
0.000136,0.481,0.0673,0.65,0,42,0.0354,179.967,0.279,Electronic
0.0229,0.707,0.764,0.106,0,42,0.048,118.023,0.166,Electronic
0.0192,0.623,6.6e-05,0.326,0,36,0.0326,137.025,0.67,Electronic
0.000455,0.521,0.667,0.111,0,40,0.0243,102.518,0.0724,Electronic
0.0254,0.774,0.00253,0.157,0,34,0.239,128.014,0.27,Electronic
0.295,0.122,0.894,0.319,1,38,0.047,73.662,0.181,Electronic
0.13,0.778,0.855,0.076,0,43,0.0843,117.006,0.592,Electronic
0.000729,0.418,0.559,0.938,0,37,0.174,149.724,0.191,Electronic
0.0156,0.605,0.433,0.271,1,48,0.118,150.119,0.403,Electronic
0.00361,0.94,0.00263,0.083,1,34,0.0499,125.004,0.457,Electronic
0.0004089999999999,0.567,0.613,0.249,1,47,0.125,74.995,0.183,Electronic
0.00326,0.665,0.581,0.732,0,30,0.176,175.153,0.639,Electronic
0.0366,0.58,0.0197,0.105,1,35,0.0352,150.182,0.971,Electronic
0.445,0.48,0.341,0.56,1,49,0.0414,178.136,0.974,Electronic
0.578,0.752,0.195,0.151,0,51,0.0303,99.991,0.351,Electronic
0.000843,0.601,0.0384,0.356,0,36,0.0398,140.023,0.398,Electronic
0.0336,0.74,0.401,0.0961,0,28,0.0603,135.057,0.155,Electronic
0.395,0.828,0.819,0.065,1,53,0.0532,113.995,0.233,Electronic
2.1e-05,0.57,0.777,0.0552,0,27,0.0326,144.029,0.266,Electronic
0.000489,0.918,1.22e-05,0.0784,1,25,0.174,116.2,0.61,Electronic
0.0221,0.629,0.888,0.34,1,31,0.148,117.003,0.263,Electronic
0.065,0.628,4.28e-05,0.124,1,38,0.0383,145.099,0.378,Electronic
0.000333,0.785,0.856,0.147,0,25,0.0537,120.997,0.224,Electronic
0.0006349999999999,0.484,0.0755,0.12,1,48,0.035,116.395,0.933,Electronic
0.514,0.519,0.153,0.1,0,53,0.0304,121.802,0.107,Electronic
0.000243,0.924,0.214,0.403,0,45,0.578,128.977,0.455,Electronic
0.0994,0.635,0.00356,0.0908,0,34,0.0267,105.882,0.559,Electronic
0.197,0.708,0.352,0.265,1,35,0.131,84.955,0.363,Electronic
0.00236,0.482,0.517,0.223,0,31,0.0275,92.97,0.245,Electronic
0.213,0.548,0.0001159999999999,0.334,0,32,0.0321,149.986,0.264,Electronic
0.613,0.338,0.00626,0.24,0,27,0.0627,120.051,0.276,Electronic
0.00182,0.69,0.151,0.222,1,30,0.0655,139.99,0.431,Electronic
0.151,0.735,0.846,0.173,1,29,0.0605,108.042,0.644,Electronic
0.154,0.707,0.802,0.0434,0,26,0.0779,148.035,0.783,Electronic
0.0736,0.752,0.0121,0.0832,1,32,0.0382,140.03,0.534,Electronic
0.0424,0.562,0.864,0.11,0,20,0.0569,101.992,0.0745,Electronic
0.077,0.524,0.792,0.128,0,39,0.0367,134.992,0.0775,Electronic
0.000791,0.696,0.557,0.286,1,38,0.0409999999999999,118.3,0.915,Electronic
0.000866,0.664,4.92e-05,0.193,1,43,0.0587,99.978,0.525,Electronic
0.00597,0.815,0.904,0.0616,1,43,0.0463,120.005,0.447,Electronic
0.000669,0.792,0.0013599999999999,0.153,0,30,0.0893,107.979,0.229,Electronic
0.0241,0.803,0.762,0.0868,1,26,0.0287,123.989,0.867,Electronic
0.00105,0.604,0.17,0.0946,1,25,0.0289999999999999,128.012,0.121,Electronic
0.0107,0.597,0.294,0.0998,0,27,0.0419,128.024,0.408,Electronic
0.00148,0.599,0.463,0.328,0,35,0.0417,121.993,0.617,Electronic
0.153,0.458,0.00779,0.0781,1,46,0.0491,79.869,0.31,Electronic
0.0493,0.416,0.0141,0.0592,1,28,0.065,104.807,0.0449,Electronic
0.399,0.632,0.11,0.173,1,31,0.0324,144.064,0.466,Electronic
0.56,0.667,0.903,0.393,1,34,0.0313,114.022,0.124,Electronic
0.0017,0.473,0.353,0.271,1,34,0.0511,81.013,0.0583,Electronic
0.802,0.46,0.0341,0.106,0,38,0.0266,91.941,0.242,Electronic
0.0108,0.489,0.135,0.273,0,27,0.0351,75.516,0.436,Electronic
0.132,0.617,4.59e-05,0.0901,0,40,0.086,150.055,0.642,Electronic
0.0264,0.445,0.0034799999999999,0.103,0,31,0.0686,170.007,0.201,Electronic
0.182,0.63,0.876,0.0697,0,38,0.0409,100.001,0.132,Electronic
0.618,0.783,0.952,0.108,1,53,0.155,126.041,0.429,Electronic
0.00382,0.606,0.0796,0.0909,1,30,0.0878,171.964,0.652,Electronic
0.163,0.773,0.695,0.561,0,40,0.321,80.975,0.473,Electronic
0.0003689999999999,0.754,0.517,0.345,0,29,0.0747,140.022,0.382,Electronic
0.0745,0.381,0.0055899999999999,0.104,1,33,0.129,113.486,0.27,Electronic
0.142,0.419,0.00123,0.742,0,27,0.472,164.357,0.354,Electronic
0.333,0.931,1.58e-05,0.32,1,37,0.0375,117.977,0.909,Electronic
0.626,0.388,0.784,0.0674,1,30,0.032,124.08,0.0473,Electronic
0.726,0.853,0.852,0.0663,1,36,0.151,156.056,0.601,Electronic
0.277,0.802,0.00605,0.0554,1,49,0.0848,127.11,0.944,Electronic
0.000202,0.516,0.597,0.367,1,50,0.0379,173.014,0.338,Electronic
0.0574,0.732,0.00829,0.382,0,56,0.261,172.039,0.45,Electronic
0.0112,0.517,0,0.836,0,31,0.5,75.03,0.362,Electronic
0.636,0.62,0.879,0.118,0,55,0.0399,150.379,0.2,Electronic
0.0638,0.825,0.00214,0.103,1,40,0.0564,120.008,0.823,Electronic
0.109,0.719,0.574,0.0866,1,33,0.0492,145.063,0.346,Electronic
0.0555,0.831,0.0016899999999999,0.651,0,27,0.135,89.999,0.505,Electronic
0.00113,0.564,0.769,0.152,0,28,0.123,150.067,0.316,Electronic
9.27e-05,0.58,0.763,0.27,1,27,0.0474,144.087,0.593,Electronic
0.0675,0.547,0.645,0.115,0,40,0.142,123.995,0.103,Electronic
0.00171,0.721,0.0545,0.547,1,53,0.196,111.961,0.37,Electronic
0.000484,0.662,0.815,0.107,0,0,0.0596,120,0.452,Electronic
0.131,0.522,0.0209,0.122,1,47,0.145,128.019,0.259,Electronic
0.0179,0.67,0.64,0.122,1,49,0.0596,126.312,0.605,Electronic
0.000125,0.714,0.0733,0.32,0,33,0.351,111.873,0.465,Electronic
0.0288,0.445,0.0014,0.28,1,32,0.0323,140.117,0.206,Electronic
0.067,0.481,0,0.081,0,43,0.0425,170.124,0.273,Electronic
1.46e-05,0.549,0.591,0.145,0,27,0.0535,174.027,0.649,Electronic
0.0225,0.876,0.265,0.0274,0,56,0.0829,118.014,0.91,Electronic
0.0184,0.742,0.777,0.283,1,34,0.0682,170.012,0.865,Electronic
3.55e-05,0.499,0.768,0.311,0,42,0.035,121.978,0.0673,Electronic
0.0228,0.657,0.887,0.13,0,44,0.042,117.029,0.248,Electronic
0.00765,0.427,0.118,0.402,0,27,0.411,78.697,0.334,Electronic
0.0097,0.721,0.728,0.088,0,31,0.0482,101.997,0.706,Electronic
0.0223,0.367,0.288,0.374,1,37,0.167,150.07,0.0387,Electronic
0.00465,0.486,0,0.0428,1,47,0.0255,93.984,0.274,Electronic
1.57e-05,0.367,0.38,0.113,0,42,0.0775,139.945,0.311,Electronic
0.171,0.187,0.673,0.111,1,32,0.0324,153.665,0.0366,Electronic
0.00361,0.565,2.29e-06,0.295,1,53,0.0613,139.941,0.634,Electronic
0.000951,0.796,0.0975,0.107,1,26,0.0365,128.017,0.69,Electronic
6.04e-06,0.702,0.706,0.1,0,37,0.0897,115.316,0.705,Electronic
0.158,0.317,2.95e-06,0.0848,0,56,0.0283,163.036,0.234,Electronic
0.00125,0.542,0.565,0.36,1,39,0.069,150.047,0.484,Electronic
0.123,0.543,0.0513,0.0892,1,48,0.0871,74.987,0.156,Electronic
0.0806,0.679,0.648,0.0924,1,31,0.0541,94.934,0.33,Electronic
0.000749,0.612,0.138,0.517,1,43,0.169,75.002,0.442,Electronic
0.12,0.651,0,0.057,1,50,0.053,106.286,0.658,Electronic
0.0262,0.732,0.000713,0.656,0,51,0.277,150.043,0.531,Electronic
0.239,0.853,0.83,0.123,0,40,0.226,93.097,0.412,Electronic
6.93e-05,0.578,0.0795,0.112,1,41,0.0398,140.072,0.106,Electronic
0.495,0.784,1.18e-06,0.142,0,72,0.0384,104.996,0.587,Electronic
0.0508,0.457,0.00137,0.113,1,47,0.044,116.002,0.294,Electronic
0.00105,0.748,0.885,0.13,0,45,0.0398,110.025,0.0383,Electronic
0.00311,0.727,0.0433,0.317,1,36,0.0569,123.009,0.3,Electronic
0.0063,0.635,0.214,0.984,0,36,0.0423,130.009,0.277,Electronic
0.000103,0.594,0.705,0.246,0,39,0.0456,144.043,0.597,Electronic
0.00598,0.751,0.000481,0.352,1,34,0.0548,113.198,0.692,Electronic
0.0114,0.474,0.208,0.403,1,40,0.279,164.063,0.15,Electronic
0.0249,0.862,0.627,0.633,0,42,0.0851,134.015,0.623,Electronic
0.00135,0.849,0.135,0.118,0,45,0.119,98.345,0.335,Electronic
0.000956,0.829,0.178,0.112,0,74,0.0473,102.018,0.369,Electronic
0.0481,0.727,0.888,0.128,0,38,0.0737,119.787,0.356,Electronic
3.06e-06,0.18,0.695,0.087,1,42,0.0529,151.622,0.154,Electronic
0.00362,0.562,0.0085,0.196,1,35,0.0628,149.844,0.515,Electronic
0.0726,0.686,0.903,0.0846,1,42,0.0504,109.003,0.29,Electronic
0.013,0.708,1.49e-05,0.504,1,60,0.0453,120.015,0.367,Electronic
0.132,0.819,0.00302,0.133,0,33,0.214,112.036,0.747,Electronic
0.149,0.846,0.0942,0.481,0,23,0.167,135.625,0.265,Electronic
0.00882,0.814,0.00376,0.0523,1,38,0.108,101.22,0.963,Electronic
0.788,0.732,0.828,0.0996,0,47,0.0302,118.111,0.701,Electronic
0.000171,0.407,0.0253,0.34,0,45,0.0629,147.001,0.666,Electronic
0.00107,0.579,0.0637,0.278,1,37,0.0336,139.972,0.263,Electronic
0.0053,0.43,0.0556,0.114,1,46,0.102,149.769,0.417,Electronic
0.00739,0.707,0.487,0.101,0,41,0.0729,144.959,0.165,Electronic
0.0217,0.471,0.394,0.382,1,32,0.0762,174.059,0.106,Electronic
0.322,0.599,0.48,0.093,0,46,0.0354,124.866,0.32,Electronic
0.00886,0.564,0.786,0.0904,0,33,0.0301,129.998,0.374,Electronic
0.0075,0.71,0.00663,0.0837,1,47,0.0504,117.005,0.225,Electronic
0.0007599999999999,0.505,0.0725,0.348,0,46,0.0315,157.993,0.532,Electronic
0.115,0.788,0.857,0.096,0,52,0.0495,78.008,0.672,Electronic
0.36,0.73,0.304,0.143,0,36,0.0797,139.927,0.628,Electronic
0.0258,0.389,0.00468,0.209,0,40,0.0671,140.03,0.125,Electronic
0.0048,0.509,0,0.348,0,23,0.323,150.012,0.437,Electronic
0.518,0.555,0.619,0.212,0,33,0.0342,126.982,0.478,Electronic
0.158,0.64,0.453,0.576,0,37,0.0371,139.935,0.306,Electronic
0.0581,0.859,0.00989,0.556,0,56,0.253,125.033,0.23,Electronic
0.0467,0.522,0.134,0.0641,0,27,0.489,67.55,0.327,Electronic
0.00252,0.509,0.00277,0.092,0,28,0.0379,140.019,0.083,Electronic
0.424,0.552,0.000102,0.302,0,46,0.139,150.13,0.144,Electronic
0.0211,0.703,0.0495,0.0967,0,46,0.324,140.076,0.167,Electronic
0.532,0.647,0.723,0.0896,1,42,0.0392,134.002,0.527,Electronic
0.171,0.671,0.536,0.101,1,50,0.0552,95.005,0.114,Electronic
0.162,0.83,0.000509,0.0778,0,55,0.0713,126.066,0.239,Electronic
0.00488,0.528,0.000647,0.862,1,32,0.196,89.466,0.495,Electronic
0.509,0.43,0.92,0.0987,0,43,0.0368,166.951,0.135,Electronic
0.25,0.707,0.0243,0.355,0,33,0.034,105.906,0.775,Electronic
0.0119,0.569,0.0018,0.177,0,39,0.0399,76.529,0.151,Electronic
0.0155,0.631,3.15e-06,0.092,1,52,0.0601,135.092,0.364,Electronic
0.0085,0.631,0.225,0.207,1,34,0.327,155.022,0.202,Electronic
0.0118,0.84,0.966,0.1,1,35,0.0379,114.989,0.178,Electronic
0.0102,0.436,0.774,0.102,1,35,0.12,128.969,0.4,Electronic
0.106,0.723,0.0493,0.259,1,57,0.044,117.929,0.707,Electronic
0.000508,0.606,0.901,0.112,0,56,0.0547,140.035,0.115,Electronic
3.33e-05,0.605,0.339,0.111,1,47,0.0278,120.039,0.368,Electronic
0.000707,0.558,0.0346,0.364,1,52,0.136,149.985,0.291,Electronic
0.0291,0.691,0.585,0.0878,0,44,0.0349,125.983,0.651,Electronic
0.0439,0.806,0.051,0.0485,0,42,0.529,122.177,0.201,Electronic
0.5,0.651,0.062,0.105,1,49,0.0429,172.782,0.42,Electronic
0.00582,0.757,8.88e-05,0.0903,1,24,0.164,148.356,0.449,Electronic
0.0217,0.508,0.924,0.126,1,24,0.0382,133.022,0.116,Electronic
0.892,0.434,0.942,0.111,0,53,0.0364,139.878,0.0594,Electronic
0.0176,0.657,0.00271,0.201,1,42,0.0439,119.057,0.436,Electronic
0.0047,0.627,0.104,0.1,1,45,0.0575,75.038,0.262,Electronic
0.0281,0.535,0.827,0.223,0,41,0.0633,78.048,0.238,Electronic
0.00121,0.42,0.891,0.0921,0,35,0.07,124.837,0.37,Electronic
0.138,0.888,0.0177,0.0918,1,45,0.215,98.973,0.508,Electronic
0.078,0.615,0.726,0.11,1,33,0.0303,139.995,0.214,Electronic
0.00168,0.584,0.000992,0.201,1,44,0.0339,135.088,0.0883,Electronic
0.118,0.573,0.841,0.0846,1,52,0.0449,122.997,0.188,Electronic
0.558,0.835,0.000752,0.115,1,42,0.189,100.007,0.841,Electronic
0.000348,0.521,0.808,0.118,0,34,0.0439,138.094,0.233,Electronic
0.00288,0.726,0.825,0.2,0,33,0.131,164.84,0.923,Electronic
0.0444,0.466,0.00129,0.648,0,39,0.413,172.016,0.254,Electronic
0.0144,0.801,0.000905,0.0791,1,0,0.105,125.985,0.796,Electronic
0.00826,0.68,0.000412,0.199,1,57,0.144,179.972,0.509,Electronic
0.0543,0.862,0.0959,0.108,0,62,0.0618,127.991,0.134,Electronic
0.0996,0.739,0.87,0.108,1,41,0.0681,120.019,0.325,Electronic
0.0501,0.746,0.0124,0.104,1,31,0.359,132.03,0.247,Electronic
0.0157,0.72,0.0535,0.148,0,30,0.292,150.042,0.144,Electronic
0.0342,0.454,0,0.173,1,60,0.0498,174.851,0.286,Electronic
0.011,0.592,2.36e-06,0.336,1,31,0.0291,117.858,0.658,Electronic
0.192,0.828,0.0122,0.432,0,40,0.0615,153.024,0.972,Electronic
0.439,0.729,0.423,0.151,1,31,0.0398,124.014,0.128,Electronic
0.00249,0.417,0.911,0.316,0,49,0.0484,129.989,0.474,Electronic
0.186,0.824,0.00282,0.306,0,32,0.0911,102.006,0.533,Electronic
0.0876,0.503,0.78,0.119,0,50,0.129,144.963,0.0884,Electronic
0.00108,0.607,0.92,0.12,1,38,0.0498,128.013,0.458,Electronic
0.0661,0.613,0.902,0.0983,0,42,0.0395,121.998,0.483,Electronic
0.859,0.478,0.91,0.149,1,45,0.0266,79.002,0.0599,Electronic
0.525,0.323,0.00755,0.124,1,29,0.0342,96.588,0.0606,Electronic
0.00315,0.478,0.0352,0.111,0,57,0.0397,153.993,0.303,Electronic
0.0102,0.676,0.00477,0.094,0,33,0.0521,145.032,0.0472,Electronic
0.000324,0.17,1.01e-05,0.459,1,31,0.0394,118.119,0.575,Electronic
0.164,0.782,0.917,0.0928,1,36,0.0364,98.003,0.274,Electronic
0.0577,0.645,0.878,0.0749,1,37,0.0338,104.01,0.37,Electronic
0.0063,0.648,0.291,0.109,1,43,0.0408,118.03,0.161,Electronic
0.103,0.573,0.0117,0.112,0,53,0.0549,60.191,0.29,Electronic
0.00842,0.708,0.853,0.0873,0,31,0.0645,112.03,0.622,Electronic
0.25,0.333,0.719,0.124,0,30,0.22,89.997,0.614,Electronic
0.00183,0.717,0.832,0.089,0,41,0.0318,133.298,0.966,Electronic
0.0603,0.474,0,0.133,1,50,0.0812,149.874,0.199,Electronic
0.7,0.455,0.919,0.369,0,24,0.126,184.039,0.873,Electronic
0.000258,0.662,0.266,0.653,0,38,0.0488,160.016,0.506,Electronic
0.204,0.811,0.9,0.101,1,48,0.0633,115.998,0.0646,Electronic
0.0184,0.776,0.0625,0.0442,0,43,0.0533,109.991,0.29,Electronic
0.0402,0.627,0.317,0.111,0,42,0.0519,164.049,0.367,Electronic
0.0234,0.837,0.00531,0.108,1,42,0.0733,98.964,0.369,Electronic
0.102,0.736,0.293,0.0938,0,51,0.0476,100.008,0.0543,Electronic
0.366,0.67,0.716,0.102,0,33,0.0572,93.992,0.269,Electronic
0.089,0.74,0,0.0837,0,60,0.0423,91.026,0.357,Electronic
0.562,0.559,0.944,0.453,1,35,0.0306,112,0.0736,Electronic
0.252,0.38,0.522,0.134,0,45,0.202,179.882,0.061,Electronic
0.0014199999999999,0.701,0.00855,0.0594,0,57,0.132,150.067,0.227,Electronic
0.0455,0.473,0.0258,0.58,1,32,0.134,118.785,0.546,Electronic
0.0104,0.64,0.28,0.662,1,30,0.368,109.808,0.109,Electronic
0.000113,0.651,0.827,0.137,0,37,0.0868,127.997,0.315,Electronic
0.171,0.57,0,0.114,0,30,0.33,89.082,0.795,Electronic
